Unnamed: 0,HashId,ProjectName,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfReleases,CBO,DIT,LOC,LCOM
152,MDEwOlJlcG9zaXRvcnkzMTE2NzUx,androidannotations/androidannotations,06/01/2012,10,Java,11156,0,4.0,1.0,28828,1.0
153,MDEwOlJlcG9zaXRvcnk0ODM5OTU3,jfeinstein10/SlidingMenu,30/06/2012,10,Java,11154,0,3.0,1.0,3085,0
154,MDEwOlJlcG9zaXRvcnk0MDc4Njc1MQ==,permissions-dispatcher/PermissionsDispatcher,15/08/2015,7,Java,11036,40,0,1.0,3184,3.0
155,MDEwOlJlcG9zaXRvcnkyMTc5NDMzNjE=,doocs/source-code-hunter,28/10/2019,2,Java,10859,0,0,0,0,0
156,MDEwOlJlcG9zaXRvcnk4MzI4NTEzOA==,alibaba/vlayout,27/02/2017,5,Java,10831,34,3.0,1.0,14042,0
157,MDEwOlJlcG9zaXRvcnkxNjA5OTk=,apache/zookeeper,27/03/2009,13,Java,10796,0,3.0,1.0,115308,0
158,MDEwOlJlcG9zaXRvcnkxMjkzMzI4MjY=,frank-lam/fullstack-tutorial,13/04/2018,4,Java,10737,0,0,0,0,0
159,MDEwOlJlcG9zaXRvcnk0NTgwODc1Ng==,H07000223/FlycoTabLayout,09/11/2015,6,Java,10703,4,3.0,1.0,2730,1.0
160,MDEwOlJlcG9zaXRvcnkxMzk5MTQ5MzI=,quarkusio/quarkus,06/07/2018,4,Java,10666,188,-,-,-,-
161,MDEwOlJlcG9zaXRvcnk3MTU2MDU=,redis/jedis,11/06/2010,12,Java,10651,69,3.0,1.0,57393,1.0
162,MDEwOlJlcG9zaXRvcnkxMzg4MjQ1,android-async-http/android-async-http,20/02/2011,11,Java,10645,3,4.0,1.0,7620,3.0
163,MDEwOlJlcG9zaXRvcnk0ODQyNzkxNA==,lingochamp/FileDownloader,22/12/2015,6,Java,10618,65,2.0,1.0,14387,1.0
164,R_kgDOHMKsgg,Grasscutters/Grasscutter,17/04/2022,0,Java,10604,1,10.0,1.0,1147995.0,6.0
165,MDEwOlJlcG9zaXRvcnk5NjIzMDY0,code4craft/webmagic,23/04/2013,9,Java,10522,21,4.0,1.0,8572,1.0
166,MDEwOlJlcG9zaXRvcnkyMjA0Mzg0Nw==,mission-peace/interview,20/07/2014,8,Java,10508,0,2.0,1.0,27259,1.0
167,MDEwOlJlcG9zaXRvcnk4NzUzNjA0Ng==,janishar/mit-deep-learning-book-pdf,07/04/2017,5,Java,10495,3,0,1.0,2,0
168,MDEwOlJlcG9zaXRvcnk4ODcwMzMxNQ==,gyf-dev/ImmersionBar,19/04/2017,5,Java,10494,0,5.0,2.0,7237,3.0
169,MDEwOlJlcG9zaXRvcnk0OTcxMjg0Mw==,jeasonlzy/okhttp-OkGo,15/01/2016,6,Java,10444,14,5.0,1.0,13418,0
170,MDEwOlJlcG9zaXRvcnk1MTE5OTMyMg==,lipangit/JiaoZiVideoPlayer,06/02/2016,6,Java,10421,78,6.0,2.0,4511,4.0
171,MDEwOlJlcG9zaXRvcnk2NjUwNTM5,neo4j/neo4j,12/11/2012,9,Java,10385,72,4.0,1.0,74958.0,1.0
172,MDEwOlJlcG9zaXRvcnk0MzM3MDYxMA==,tbruyelle/RxPermissions,29/09/2015,6,Java,10365,11,2.0,1.0,876,0
173,MDEwOlJlcG9zaXRvcnk0Njg0NDk1OA==,DuGuQiuBai/Java,25/11/2015,6,Java,10262,0,1.0,1.0,13656,0
174,MDEwOlJlcG9zaXRvcnkyMzc5NDA1OTI=,dromara/Sa-Token,03/02/2020,2,Java,10233,25,4.0,1.0,16813,1.0
